payment_id,date,customer_id,employee_id,product_id,Price
2014388,2005-01-01,60977,199,1726,3000.0
8105198,2005-01-02,60002,1911,1976,3500.0
289122,2005-01-03,41137,1016,998,69.95
9730477,2005-01-04,67185,3980,2411,47.45
3026474,2005-01-05,47013,3956,2279,21.95
1419867,2005-01-05,95850,199,1507,13.75
4161378,2005-01-07,96113,1560,89,1500.0
3142284,2005-01-12,29933,866,1053,105.0
9759074,2005-01-13,1376,115,516,41.75
3637975,2005-01-13,84364,1621,1965,99.95
4144274,2005-01-14,81655,3559,1046,44.95
7502512,2005-01-14,90657,485,2380,49.95
1105498,2005-01-14,55831,1007,350,43.45
9758747,2005-01-19,52656,3207,2138,500.0
8599433,2005-01-20,79779,3971,1703,26.95
7050660,2005-01-22,17668,534,141,250.0
155111,2005-01-22,83724,1151,1413,51.75
6235176,2005-01-26,2787,2477,394,5300.0
2004640,2005-01-28,14520,525,707,4000.0
4997789,2005-01-29,60002,1638,300,450.0
9262772,2005-01-31,6234,650,1105,299.0
7989144,2005-01-31,3253,3559,486,299.0
3720507,2005-02-03,63814,2820,316,45.95
9371052,2005-02-06,20295,525,994,2800.0
1596301,2005-02-06,73459,1783,252,2000.0
6076238,2005-02-08,50510,2643,2189,399.0
7861496,2005-02-08,69756,3245,1937,1000.0
9081161,2005-02-09,25216,2584,1407,150.0
1585835,2005-02-09,46398,1355,2642,7.95
3747600,2005-02-10,51611,525,2412,6000.0
9350631,2005-02-11,29210,1560,1283,450.0
309322,2005-02-13,72674,881,588,105.0
753637,2005-02-13,67922,881,1553,500.0
6116363,2005-02-15,20554,1289,2136,47.95
7843790,2005-02-17,93313,3236,99,7000.0
9989398,2005-02-18,54762,3236,588,105.0
7255317,2005-02-18,50362,1621,2226,27500.0
7874942,2005-02-19,27448,2769,2570,225.0
1868157,2005-02-20,80181,2144,1901,34.95
1706998,2005-02-22,71311,168,2123,7500.0
6556870,2005-02-22,36096,199,1246,350.0
5140285,2005-02-24,72292,56,1329,9.75
6253998,2005-02-25,93464,1990,393,500.0
9426112,2005-02-25,66481,2376,354,5000.0
3056519,2005-02-27,91761,881,1767,14.95
3448173,2005-02-27,52656,82,2054,2250.0
437866,2005-03-01,46398,769,971,3500.0
986178,2005-03-02,33864,363,633,17.95
5934988,2005-03-02,66884,115,101,164.0
8390882,2005-03-03,51749,630,307,12500.0
6847051,2005-03-04,27226,630,886,15.45
6828485,2005-03-04,94916,2098,2141,54.95
8014100,2005-03-05,97966,2098,2119,3750.0
4510322,2005-03-06,70780,1571,868,295.0
7694725,2005-03-06,62763,3471,1965,99.95
7450518,2005-03-06,14076,646,2332,29.95
9337057,2005-03-09,1557,3041,1609,29.75
5189663,2005-03-09,48320,650,860,6500.0
7107909,2005-03-13,71912,3041,1537,299.0
1820102,2005-03-15,38884,1016,1645,5000.0
4054443,2005-03-15,97966,3208,1574,69.95
3229136,2005-03-16,80263,3956,2319,58.95
7890532,2005-03-19,24415,866,1412,44.75
4589522,2005-03-19,1376,2376,995,99.95
