Product_name,Alcohol_amount,Alcohol_percent,Category,product_id
Hine Rare VSOP Cognac,70.0,40.0,Cognac,2411
Hennessy VSOP Privilege Cognac,70.0,40.0,Cognac,967
Hennessy XO Cognac,70.0,40.0,Cognac,1638
Courvoisier XO Cognac,70.0,40.0,Cognac,782
Remy Martin 1738 Accord Royal Cognac,70.0,40.0,Cognac,2331
Remy Martin XO Cognac,70.0,40.0,Cognac,101
Hardy XO Rare Cognac,70.0,40.0,Cognac,1324
ABK6 VSOP Single Estate Cognac,70.0,40.0,Cognac,1931
Chateau de Montifaud VSOP Cognac,70.0,40.0,Cognac,2522
Hennessy VS Cognac,70.0,40.0,Cognac,917
Cognac Park Mizunara Cask,70.0,43.5,Cognac,1280
Bache Gabrielsen VS 3 Kors Cognac,70.0,40.0,Cognac,241
Martell VS Cognac,70.0,40.0,Cognac,713
Maxime Trijol XO Classic Cognac,70.0,40.0,Cognac,342
Frapin VSOP Grande Champagne Cognac,70.0,40.0,Cognac,470
Martell XO Cognac,70.0,40.0,Cognac,75
Philbert XO Cognac,70.0,40.0,Cognac,2201
Camus Intensely Aromatic VSOP Cognac,70.0,40.0,Cognac,714
Hardy Legend 1863 Cognac,70.0,40.0,Cognac,2566
Chateau de Montifaud XO Fine Petite Champagne Cognac,70.0,40.0,Cognac,1154
Ferrand 1840 Cognac,70.0,45.0,Cognac,1817
AE Dor VSOP Fine Champagne Cognac,70.0,40.0,Cognac,1720
Delamain Vesper XO Grande Champagne Cognac,70.0,40.0,Cognac,1127
Remy Martin VSOP Cognac,70.0,40.0,Cognac,525
Martell Cordon Bleu Cognac,70.0,40.0,Cognac,1483
Braastad XO Superior,70.0,42.0,Cognac,2346
Jean-Luc Pasquet Le Cognac de Noël Lot 94,50.0,46.4,Cognac,706
Cognac Park Millesimes Petite Champange 1972,70.0,40.0,Cognac,2378
Cognac Park 10 Year Old Mizunara Cask,70.0,44.0,Cognac,1299
Camus Caribbean Expedition,70.0,45.3,Cognac,478
Jean-Luc Pasquet L’Organic 10 Grande Champagne,70.0,40.0,Cognac,1595
Jean-Luc Pasquet L’Organic 07 Grande Champagne Cognac,70.0,40.0,Cognac,26
Braastad XO Fine Champagne Cognac,70.0,40.0,Cognac,2012
Braastad VS Cognac,70.0,40.0,Cognac,2144
Courvoisier VSOP Exclusif Cognac,35.0,40.0,Cognac,1613
Maxime Trijol VS Cognac,70.0,40.0,Cognac,2632
Hine Antique XO Cognac,70.0,40.0,Cognac,1416
Delamain Collection Revelation Malaville Very Old Cognac,70.0,44.3,Cognac,1309
Philbert Dovecote Petite Champagne Cognac,70.0,40.0,Cognac,1951
Jean-Luc Pasquet Le Cognac de Claude Lot 84,50.0,49.8,Cognac,603
Cognac Patte Blanche VSOP Bio,70.0,40.0,Cognac,112
Cognac Patte Blanche VS Bio,70.0,40.0,Cognac,1642
Jean-Luc Pasquet L’Organic 04 Grande Champagne,70.0,40.0,Cognac,2398
Braastad VSOP Organic Cognac,50.0,40.0,Cognac,1652
Braastad VSOP Cognac,70.0,40.0,Cognac,265
Prunier Grande Champagne 1982 Cognac,70.0,55.8,Cognac,1849
Naud VS Cognac,70.0,40.0,Cognac,726
Renault Cognac Cellar Master Selection Set,100.0,40.0,Cognac,282
Tesseron Lot 90 Ovation Cognac,70.0,40.0,Cognac,320
Tesseron Composition Cognac,70.0,40.0,Cognac,339
Remy Martin Carte Blanche,70.0,44.1,Cognac,1853
Vallein-Tercinier Vieille Réserve XO Cognac,70.0,40.0,Cognac,595
Ferrand 10 Generations Cognac,50.0,46.0,Cognac,140
Bache Gabrielsen American Oak Cognac,70.0,40.0,Cognac,1706
H by Hine VSOP Cognac,20.0,40.0,Cognac,1869
Fanny Fougerat Cedre Blanc XO Cognac,70.0,44.0,Cognac,1663
Camus VSOP Borderies,70.0,40.0,Cognac,623
Prunier Tres Vieille XO,70.0,40.0,Cognac,1694
Prunier 20 Year Old,70.0,40.0,Cognac,2390
Prunier VSOP,70.0,40.0,Cognac,49
Leopold Gourmel Premieres Saveurs 6 Carats Cognac,70.0,40.0,Cognac,1987
Remy Martin VSOP Cognac,35.0,40.0,Cognac,2532
Frapin VIP XO Cognac,70.0,40.0,Cognac,2229
Ferrand Ambre,70.0,40.0,Cognac,1955
Louis Royer XO Cognac,70.0,40.0,Cognac,2650
Remy Martin Louis XIII Cognac,70.0,40.0,Cognac,2009
Meukow XO Cognac,70.0,40.0,Cognac,669
Martell VSOP Red Barrel Cognac,70.0,40.0,Cognac,609
Hine Cigar Reserve XO Cognac,70.0,40.0,Cognac,828
Philbert 2018 Grande Champagne Sherry Cask Finish Cognac,70.0,40.0,Cognac,1040
Cognac Patte Blanche XO Bio,70.0,40.0,Cognac,304
Ferrand 2011 Renegade Barrel No.3 Eau-de-vie de Vin,70.0,48.2,Cognac,2227
Remy Martin Tercet Cognac,70.0,42.0,Cognac,1072
Hennessy XO Holidays Giftbox by Julien Colombier,70.0,40.0,Cognac,1945
Cognac Park 21 Year Old Chai No.8 Petite Champagne,70.0,43.0,Cognac,1177
Cognac Park 2006 Mizunara Cask,70.0,45.2,Cognac,2373
Cognac Park VSOP,70.0,40.0,Cognac,130
Vallein-Tercinier 1990 Bons Bois Cognac,70.0,42.9,Cognac,2232
"Vallein-Tercinier Cognac ""Lot 96"" Fins Bois",70.0,48.7,Cognac,1061
Vallein-Tercinier Roots XO,70.0,44.0,Cognac,2147
Braastad Chateau De Triac Single Vineyard Cognac,70.0,40.0,Cognac,1542
H by Hine VSOP Cognac,70.0,40.0,Cognac,1382
Hine Bonneuil 2010,70.0,42.1,Cognac,2395
